x,y,t,ux,uy,p
-2.9575149590435164,-2.9575149590435164,0.0,-0.03158790714963764,-0.02467212432241396,5.528672833469034e-05
-2.9575149590435164,-2.5648158773447918,0.0,-0.0009616773540592556,-0.00534330888191507,-0.0004177909490094779
-2.9575149590435164,-2.172116795646068,0.0,0.01969012679936421,0.046984434145476206,-0.0007397897515250609
-2.9575149590435164,-1.7794177139473437,0.0,-0.03264327840890186,0.033589386931584156,0.0010794166116759006
-2.9575149590435164,-1.3867186322486196,0.0,0.025241583679677854,-0.006656757018075027,0.001759773727904122
-2.9575149590435164,-0.9940195505498957,0.0,0.029535899129808415,0.001542583303078016,0.001861528410271005
-2.9575149590435164,-0.6013204688511715,0.0,0.00775835751562501,0.030937923518822463,0.0008673685064018023
-2.9575149590435164,-0.20862138715244738,0.0,-0.011819929713240994,0.02064079091196509,0.0008468019753880716
-2.9575149590435164,0.18407769454627676,0.0,0.00014054671004010318,-0.02745146471860063,-0.001875984545308055
-2.9575149590435164,0.5767767762450009,0.0,0.017975682899067272,-0.005208973958868577,-0.002010725908216896
-2.9575149590435164,0.969475857943725,0.0,0.0345198222862341,-0.018685799283074518,-0.002521336482267307
-2.9575149590435164,1.3621749396424496,0.0,-0.01514532782606972,-0.02493272366198322,-0.0037942652448865032
-2.9575149590435164,1.7548740213411733,0.0,-0.05057185130393323,-0.032474222711828475,-0.0014042215883929253
-2.9575149590435164,2.147573103039898,0.0,-0.03826439956204215,0.0022955544691832808,-0.003695254893070098
-2.9575149590435164,2.5402721847386216,0.0,0.04736388623079435,-0.005003555647048671,-0.0017270377458575832
-2.9575149590435164,2.932971266437346,0.0,-0.001204307552961515,-0.0323318200946798,-0.00174214787983285
-2.5648158773447918,-2.9575149590435164,0.0,-0.00257044034542715,0.0567780414363894,0.00011122556737565227
-2.5648158773447918,-2.5648158773447918,0.0,-0.03597198528457509,0.02314319170605166,0.0007943359084236294
-2.5648158773447918,-2.172116795646068,0.0,0.010405713865036373,0.012319171646811868,-0.0005306348970924571
-2.5648158773447918,-1.7794177139473437,0.0,0.017386323415681984,-0.02845030453255426,0.0007589915045360064
-2.5648158773447918,-1.3867186322486196,0.0,0.01091361693091719,-0.014308955469884664,0.0012230841346411656
-2.5648158773447918,-0.9940195505498957,0.0,0.009439848649471755,0.02723092276967428,0.0011336575383065536
-2.5648158773447918,-0.6013204688511715,0.0,-0.007532989171155951,0.04655921136972502,-0.0001690325852578673
-2.5648158773447918,-0.20862138715244738,0.0,0.06197366239930538,0.0009616608961430517,0.0026802319336597237
-2.5648158773447918,0.18407769454627676,0.0,0.005195602225182094,-0.053344098740755665,-0.004998253760646206
-2.5648158773447918,0.5767767762450009,0.0,-0.03166547643258272,-0.007472910113406936,-0.0007011670597941599
-2.5648158773447918,0.969475857943725,0.0,0.036309315659011944,0.04563700931055597,-0.002304612344953263
-2.5648158773447918,1.3621749396424496,0.0,0.005500510000181841,0.025567257062417515,-0.004314090320357878
-2.5648158773447918,1.7548740213411733,0.0,-0.04537907966670091,0.001993891438305988,-0.004320824352052829
-2.5648158773447918,2.147573103039898,0.0,-0.0466348346155741,-0.0074509816630542215,-0.001426099755771395
-2.5648158773447918,2.5402721847386216,0.0,0.04845854479558234,-0.023493445376998136,-0.0013443089230851196
